,Category,Price,Brand,Condition,Occasion
0,Tops,25.0,Ts,Like New,Smart Casual
1,Tops,15.0,Ts,Like New,Smart Casual
2,Tops,17.5,Ts,Like New,Smart Casual
3,Pants,25.0,Ts,Gently Used,Smart Casual
4,Tops,10.0,Ts,Like New,Smart Casual
6,Tops,15.0,Ts,Like New,Smart Casual
7,Tops,15.0,Ts,Like New,Smart Casual
8,Tops,15.0,Ts,Like New,Smart Casual
11,Dresses,50.0,Witchery,New with Tags,Summer Dress
12,Jumpers,22.5,Witchery,Like New,Smart Casual
14,Dresses,26.0,Esprit,Gently Used,Smart Casual
16,Jumpers,20.0,Zara,Like New,Smart Casual
17,Dresses,25.0,Seed,Like New,Smart Casual
18,Jeans,25.0,Bettina Liano,Gently Used,Casual
21,Tops,27.0,French Connection,Gently Used,Smart Casual
26,Dresses,17.0,Just Jeans,Gently Used,Smart Casual
28,Jumpers,15.0,Sussan,Like New,Smart Casual
30,Jumpers,15.0,Sportsgirl,Like New,Smart Casual
32,Tops,12.0,Sussan,Gently Used,Casual
35,Tops,16.0,Ts,Like New,Smart Casual
36,Jumpers,18.0,Seed,Like New,Smart Casual
37,Tops,7.5,Sussan,Gently Used,Smart Casual
39,Tops,13.0,Witchery,Gently Used,Smart Casual
40,Tops,10.0,Just Jeans,Like New,Smart Casual
42,Tops,5.0,Valley Girl,Like New,Smart Casual
44,Jeans,40.0,Guess,Gently Used,Casual
46,Bags,15.0,Sportsgirl,Like New,Casual
48,Activewear,25.0,Calvin Klein,Like New,Casual
49,Tops,20.0,Guess,Gently Used,Casual
50,Activewear,25.0,Lorna Jane,New with Tags,Casual
51,Jeans,27.5,Lee,Like New,Casual
54,Tops,12.5,Sportsgirl,Gently Used,Casual
55,Tops,12.5,Sportsgirl,Gently Used,Casual
56,Tops,17.5,Tokito,Gently Used,Smart Casual
57,Tops,20.0,Princess Highway,Like New,Smart Casual
59,Skirts,12.5,Forever 21,Like New,Smart Casual
60,Tops,20.0,Cue,Gently Used,Cocktail And Party
61,Dresses,30.0,Sportsgirl,Like New,Little Black Dresses
62,Dresses,20.0,Sportsgirl,Gently Used,Little Black Dresses
65,Pants,70.0,Nike,Gently Used,Casual
66,Jumpers,15.0,Guess,Gently Used,Smart Casual
67,Dresses,25.0,Sportsgirl,Like New,Smart Casual
68,Dresses,25.0,Portmans,Like New,Little Black Dresses
71,Pants,17.5,Topshop,Like New,Work
73,Tops,12.0,Glassons,Like New,Smart Casual
75,Skirts,15.0,Asos,Like New,Cocktail And Party
78,Tops,27.5,Free People,Like New,Casual
79,Tops,20.0,Tree Of Life,Like New,Casual
81,Skirts,30.0,Tree Of Life,Like New,Casual
82,Skirts,20.0,Tree Of Life,Like New,Casual
85,Dresses,30.0,Tree Of Life,Like New,Summer Dress
92,Tops,23.0,Basque,Like New,Smart Casual
95,Tops,23.0,Basque,Like New,Smart Casual
97,Tops,17.5,Ts,Like New,Smart Casual
98,Dresses,42.0,Portmans,New with Tags,Little Black Dresses
100,Tops,15.0,Witchery,Like New,Cocktail And Party
101,Tops,16.5,Witchery,Like New,Cocktail And Party
102,Tops,15.0,Country Road,Gently Used,Cocktail And Party
103,Tops,15.0,Witchery,Like New,Smart Casual
104,Tops,14.0,Portmans,Like New,Work
105,Dresses,15.0,Witchery,Like New,Smart Casual
106,Dresses,17.5,Seed,Gently Used,Smart Casual
